Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,2nd phase - general contingent,6th choice,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Basic Ed 3rd Cycle,Other 11th,Services/Security/Sales,Unskilled Workers,127.3,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,International student (bachelor),2nd choice,Tourism ,daytime,Secondary education,160.0,Portuguese,Secondary Education,Degree,Technicians,Technicians,142.5,yes,no,no,no,male,no,19,no,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,6th choice,Communication Design,daytime,Secondary education,122.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,124.8,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,3rd choice,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Technicians,119.6,yes,no,no,yes,female,no,20,no,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,2nd choice,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,141.5,no,no,no,yes,female,no,45,no,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Skilled Workers,114.8,no,no,yes,yes,male,no,50,no,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Skilled Workers,Armed Forces,128.4,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
single,3rd phase - general contingent ,5th choice,Tourism ,daytime,Secondary education,119.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,113.1,yes,no,no,no,male,no,22,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,4th choice,Social Service,daytime,Secondary education,137.0,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,129.3,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,138.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Skilled Workers,123.0,yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent ,2nd choice,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Services/Security/Sales,Skilled Workers,130.6,yes,no,no,yes,female,no,18,no,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,119.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,3rd choice,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Administrative,Unskilled Workers,130.2,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma holders,2nd choice,Tourism ,daytime,Professional higher technical course,110.0,Portuguese,Secondary Education,Secondary Education,Administrative,Skilled Workers,111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Services/Security/Sales,137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Technicians,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,137.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Machine Operators,137.4,yes,no,no,yes,female,no,18,no,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
